width;mean;median;std
32;0.07004600000000001;0.051;0.08254484348748106
64;0.10898000000000001;0.071;0.17206354444406086
256;0.368192;0.1385;0.8063348056319702
512;0.7011080000000001;0.258;1.6075604727920394
1024;1.36918;0.4735;3.2519529929161446
