height;mean;median;std
32;0.065498;0.0515;0.06622024038368439
64;0.104908;0.073;0.1468090642251947
256;0.329838;0.1395;0.6961253254216417
512;0.673096;0.2685;1.4997318740936139
1024;1.4441659999999998;0.544;3.3078427086568714
