threadsY;mean;median;std
1;0.49474819999999997;0.071;1.4990071799788072
4;0.180347;0.0379;0.5112245063401847
8;0.1212534;0.032;0.293956651215835
16;0.0944268;0.03;0.1940104645695303
32;0.084103;0.029;0.15682964504879895
