threadsX;mean;median;std
1;1.236244;0.185;3.4085310249372704
4;0.520716;0.1055;1.3231053604811176
8;0.34971199999999997;0.089;0.7556225910175742
16;0.27276799999999995;0.088;0.4836399335732043
32;0.238066;0.086;0.3730241918957522
