threadsY;mean;median;std
1;1.3184500000000001;0.212;3.4694257411633544
4;0.482736;0.102;1.160991046789531
8;0.327654;0.0895;0.6708076266919273
16;0.258446;0.084;0.4482151768665884
32;0.23022;0.081;0.3620059782054891
