width;mean;median;std
32;0.0251292;0.0165;0.035860317792014734
64;0.039385800000000006;0.02045;0.07236863392874998
256;0.13310419999999998;0.04455;0.3294055359835856
512;0.2583688;0.07355;0.6754434009466113
1024;0.5188904;0.134;1.4275012999049426
