height;mean;median;std
32;0.0238276;0.016;0.032772472414150766
64;0.0387598;0.021;0.06949159321107863
256;0.1243406;0.0435;0.31467261323266976
512;0.2520274;0.0738;0.6595614566812699
1024;0.535923;0.1531;1.4341150852866358
