nProcs;mean;median;std
1;0.24241546433333333;0.0461559;0.5479659494770918
2;0.3457216618055555;0.0637119;0.7888980270951974
4;0.47666424055555556;0.0920706;1.1664523995777647
8;0.5553326243703703;0.1028965;1.423171529993051
16;0.5728386237222223;0.118926;1.4162997043271937
