nProcs;mean;median;std
1;0.06912327222222221;0.015710000000000002;0.14025107354640698
4;0.09214149336419752;0.020934216666666665;0.18143378755108422
8;0.0993203456361454;0.02432;0.1894209694633483
16;0.11726506348593964;0.03726611666666667;0.20355382392601093
