strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;1;1024;32;2;1;1;0,0181168;0,0181168;;;;
cols;cols;1;1024;32;5;1;1;0,0342726;0,0342726;;;;
cols;cols;1;1024;32;10;1;1;0,0844817;0,0844817;;;;
cols;cols;1;1024;64;1;1;1;0,027115;0,027115;;;;
cols;cols;1;1024;64;2;1;1;0,0301094;0,0301094;;;;
cols;cols;1;1024;64;5;1;1;0,0742522;0,0742522;;;;
cols;cols;1;1024;64;10;1;1;0,148469;0,148469;;;;
cols;cols;1;1024;256;1;1;1;0,0793375;0,0793375;;;;
cols;cols;1;1024;256;2;1;1;0,18369;0,18369;;;;
cols;cols;1;1024;256;5;1;1;0,388607;0,388607;;;;
cols;cols;1;1024;256;10;1;1;0,781178;0,781178;;;;
cols;cols;1;1024;512;1;1;1;0,158064;0,158064;;;;
cols;cols;1;1024;512;2;1;1;0,335526;0,335526;;;;
cols;cols;1;1024;512;5;1;1;0,786735;0,786735;;;;
cols;cols;1;1024;512;10;1;1;1,56543;1,56543;;;;
cols;cols;1;1024;1024;1;1;1;0,354589;0,354589;;;;
cols;cols;1;1024;1024;2;1;1;0,677859;0,677859;;;;
cols;cols;1;1024;1024;5;1;1;1,70181;1,70181;;;;
cols;cols;1;1024;1024;10;1;1;3,39615;3,39615;;;;
cols;cols;2;32;32;1;1;1;0,0021057;0,0021057;;;;
cols;cols;2;32;32;2;1;1;0,0027954;0,0027954;;;;
cols;cols;2;32;32;5;1;1;0,0035668;0,0035668;;;;
cols;cols;2;32;32;10;1;1;0,0065981;0,0065981;;;;
cols;cols;2;32;64;1;1;1;0,003105;0,003105;;;;
cols;cols;2;32;64;2;1;1;0,0037679;0,0037679;;;;
cols;cols;2;32;64;5;1;1;0,006953;0,006953;;;;
cols;cols;2;32;64;10;1;1;0,0082112;0,0082112;;;;
cols;cols;2;32;256;1;1;1;0,004329;0,004329;;;;
cols;cols;2;32;256;2;1;1;0,0105997;0,0105997;;;;
cols;cols;2;32;256;5;1;1;0,0144597;0,0144597;;;;
cols;cols;2;32;256;10;1;1;0,0274762;0,0274762;;;;
cols;cols;2;32;512;1;1;1;0,0068684;0,0068684;;;;
cols;cols;2;32;512;2;1;1;0,0119399;0,0119399;;;;
cols;cols;2;32;512;5;1;1;0,0391289;0,0391289;;;;
cols;cols;2;32;512;10;1;1;0,0565733;0,0565733;;;;
cols;cols;2;32;1024;1;1;1;0,0141683;0,0141683;;;;
cols;cols;2;32;1024;2;1;1;0,021824;0,021824;;;;
cols;cols;2;32;1024;5;1;1;0,0520311;0,0520311;;;;
cols;cols;2;32;1024;10;1;1;0,106299;0,106299;;;;
cols;cols;2;64;32;1;1;1;0,0024367;0,0024367;;;;
cols;cols;2;64;32;2;1;1;0,0030144;0,0030144;;;;
cols;cols;2;64;32;5;1;1;0,0068338;0,0068338;;;;
cols;cols;2;64;32;10;1;1;0,00771;0,00771;;;;
cols;cols;2;64;64;1;1;1;0,0031171;0,0031171;;;;
cols;cols;2;64;64;2;1;1;0,0056677;0,0056677;;;;
cols;cols;2;64;64;5;1;1;0,0125608;0,0125608;;;;
cols;cols;2;64;64;10;1;1;0,0143036;0,0143036;;;;
cols;cols;2;64;256;1;1;1;0,0068003;0,0068003;;;;
cols;cols;2;64;256;2;1;1;0,0194111;0,0194111;;;;
cols;cols;2;64;256;5;1;1;0,0310173;0,0310173;;;;
cols;cols;2;64;256;10;1;1;0,0634577;0,0634577;;;;
cols;cols;2;64;512;1;1;1;0,0121003;0,0121003;;;;
cols;cols;2;64;512;2;1;1;0,0224382;0,0224382;;;;
cols;cols;2;64;512;5;1;1;0,0681042;0,0681042;;;;
cols;cols;2;64;512;10;1;1;0,105451;0,105451;;;;
cols;cols;2;64;1024;1;1;1;0,0228507;0,0228507;;;;
cols;cols;2;64;1024;2;1;1;0,0439637;0,0439637;;;;
cols;cols;2;64;1024;5;1;1;0,107031;0,107031;;;;
cols;cols;2;64;1024;10;1;1;0,223779;0,223779;;;;
cols;cols;2;256;32;1;1;1;0,0044711;0,0044711;;;;
cols;cols;2;256;32;2;1;1;0,0071666;0,0071666;;;;
cols;cols;2;256;32;5;1;1;0,0153355;0,0153355;;;;
