strategy;nFotogramas;width;height;ns;nThreads;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;1;1024;1024;2;1;4,21222;4,21177;;;;
cols;1;1024;1024;5;1;10,5393;10,5387;;;;
cols;1;1024;1024;10;1;20,8776;20,8771;;;;
cols;2;32;32;1;1;0,0031197;0,0029841;;;
cols;2;32;32;2;1;0,0050995;0,0049285;;;
cols;2;32;32;5;1;0,0109312;0,0107926;;;
cols;2;32;32;10;1;0,0214373;0,0213012;;;
cols;2;32;64;1;1;0,0053425;0,0051897;;;
cols;2;32;64;2;1;0,0097476;0,0096088;;;
cols;2;32;64;5;1;0,0232954;0,0231453;;;
cols;2;32;64;10;1;0,045178;0,0450301;;;
cols;2;32;256;1;1;0,0192591;0,0191107;;;
cols;2;32;256;2;1;0,0373676;0,0372113;;;
cols;2;32;256;5;1;0,0916766;0,0915261;;;
cols;2;32;256;10;1;0,182315;0,182158;;;
cols;2;32;512;1;1;0,037802;0,0376448;;;
cols;2;32;512;2;1;0,0741755;0,0740206;;;
cols;2;32;512;5;1;0,183501;0,183346;;;
cols;2;32;512;10;1;0,366903;0,366742;;;
cols;2;32;1024;1;1;0,0741518;0,0739741;;;
cols;2;32;1024;2;1;0,147409;0,147238;;;
cols;2;32;1024;5;1;0,364899;0,364697;;;
cols;2;32;1024;10;1;0,732723;0,732536;;;
cols;2;64;32;1;1;0,00435;0,0042063;;;
cols;2;64;32;2;1;0,0078709;0,0077324;;;
cols;2;64;32;5;1;0,0185408;0,018399;;;
cols;2;64;32;10;1;0,0364001;0,0362478;;;
cols;2;64;64;1;1;0,0092048;0,0090603;;;
cols;2;64;64;2;1;0,0174288;0,0172763;;;
cols;2;64;64;5;1;0,0419365;0,0417848;;;
cols;2;64;64;10;1;0,0855517;0,0854038;;;
cols;2;64;256;1;1;0,0372593;0,0371029;;;
cols;2;64;256;2;1;0,0732079;0,0730491;;;
cols;2;64;256;5;1;0,180274;0,180118;;;
cols;2;64;256;10;1;0,360322;0,360165;;;
cols;2;64;512;1;1;0,0743041;0,0741346;;;
cols;2;64;512;2;1;0,147145;0,146976;;;
cols;2;64;512;5;1;0,372494;0,37232;;;
cols;2;64;512;10;1;0,72728;0,727105;;;
cols;2;64;1024;1;1;0,149561;0,149348;;;
cols;2;64;1024;2;1;0,299558;0,299357;;;
cols;2;64;1024;5;1;0,738648;0,738447;;;
cols;2;64;1024;10;1;1,46848;1,46828;;;
cols;2;256;32;1;1;0,0129013;0,0127554;;;
cols;2;256;32;2;1;0,0248986;0,0247501;;;
cols;2;256;32;5;1;0,0607962;0,0606447;;;
cols;2;256;32;10;1;0,121301;0,12115;;;
cols;2;256;64;1;1;0,0268103;0,0266499;;;
cols;2;256;64;2;1;0,0527656;0,0526115;;;
cols;2;256;64;5;1;0,128891;0,128726;;;
cols;2;256;64;10;1;0,2567;0,256518;;;
cols;2;256;256;1;1;0,133913;0,133714;;;
cols;2;256;256;2;1;0,267331;0,267132;;;
cols;2;256;256;5;1;0,655203;0,655002;;;
cols;2;256;256;10;1;1,3151;1,3149;;;
cols;2;256;512;1;1;0,286393;0,286142;;;
cols;2;256;512;2;1;0,572298;0,572046;;;
cols;2;256;512;5;1;1,41985;1,4196;;;
cols;2;256;512;10;1;2,83174;2,83148;;;
cols;2;256;1024;1;1;0,578263;0,577899;;;
cols;2;256;1024;2;1;1,15058;1,15021;;;
cols;2;256;1024;5;1;2,8603;2,85993;;;
cols;2;256;1024;10;1;5,69465;5,69429;;;
cols;2;512;32;1;1;0,0233128;0,0231466;;;
cols;2;512;32;2;1;0,0452084;0,045053;;;
cols;2;512;32;5;1;0,111015;0,110848;;;
cols;2;512;32;10;1;0,220645;0,220473;;;
cols;2;512;64;1;1;0,0493808;0,0492128;;;
cols;2;512;64;2;1;0,0971061;0,0969369;;;
cols;2;512;64;5;1;0,239415;0,23924;;;
cols;2;512;64;10;1;0,476986;0,476813;;;
cols;2;512;256;1;1;0,230264;0,230004;;;
cols;2;512;256;2;1;0,458417;0,458159;;;
cols;2;512;256;5;1;1,13254;1,13228;;;
cols;2;512;256;10;1;2,25179;2,25154;;;
cols;2;512;512;1;1;0,533039;0,532665;;;
cols;2;512;512;2;1;1,0562;1,05583;;;
cols;2;512;512;5;1;2,61172;2,61133;;;
cols;2;512;512;10;1;5,21987;5,2195;;;
cols;2;512;1024;1;1;1,14483;1,14446;;;
cols;2;512;1024;2;1;2,28032;2,27995;;;
cols;2;512;1024;5;1;5,66409;5,66374;;;
cols;2;512;1024;10;1;11,2892;11,2888;;;
cols;2;1024;32;1;1;0,0390661;0,038897;;;
cols;2;1024;32;2;1;0,0763453;0,0761741;;;
cols;2;1024;32;5;1;0,187276;0,187104;;;
cols;2;1024;32;10;1;0,371261;0,371085;;;
cols;2;1024;64;1;1;0,0902796;0,0900868;;;
cols;2;1024;64;2;1;0,178398;0,178196;;;
cols;2;1024;64;5;1;0,440316;0,440116;;;
cols;2;1024;64;10;1;0,87888;0,878675;;;
cols;2;1024;256;1;1;0,419915;0,419515;;;
cols;2;1024;256;2;1;0,831377;0,831009;;;
cols;2;1024;256;5;1;2,05402;2,05364;;;
cols;2;1024;256;10;1;4,08332;4,08295;;;
cols;2;1024;512;1;1;0,91547;0,915119;;;
cols;2;1024;512;2;1;1,82205;1,8217;;;
cols;2;1024;512;5;1;4,50895;4,50859;;;
cols;2;1024;512;10;1;8,99497;8,9946;;;
cols;2;1024;1024;1;1;2,11568;2,1151;;;
cols;2;1024;1024;2;1;4,20415;4,20358;;;
cols;2;1024;1024;5;1;10,4265;10,4259;;;
cols;2;1024;1024;10;1;20,9201;20,9195;;;
cols;5;32;32;1;1;0,0031492;0,003009
cols;5;32;32;2;1;0,0049441;0,004801
cols;5;32;32;5;1;0,0110149;0,0108652
cols;5;32;32;10;1;0,0216354;0,0214979
cols;5;32;64;1;1;0,0054474;0,0052948
cols;5;32;64;2;1;0,009694;0,0095562
cols;5;32;64;5;1;0,0231522;0,0230066
cols;5;32;64;10;1;0,0452493;0,0451033
cols;5;32;256;1;1;0,0193992;0,0192485
cols;5;32;256;2;1;0,0376698;0,0375064
cols;5;32;256;5;1;0,0925377;0,0923793
cols;5;32;256;10;1;0,182501;0,182351
