threadsX;threadsY;width;height;ns;timer_seconds
32;16;32;64;10;0.07
32;32;32;64;10;0.069
1;1;32;256;1;0.147
1;4;32;256;1;0.053
1;8;32;256;1;0.039
1;16;32;256;1;0.03
1;32;32;256;1;0.024
4;1;32;256;1;0.06
4;4;32;256;1;0.032
4;8;32;256;1;0.029
4;16;32;256;1;0.029
4;32;32;256;1;0.028
8;1;32;256;1;0.051
8;4;32;256;1;0.029
8;8;32;256;1;0.029
8;16;32;256;1;0.029
8;32;32;256;1;0.029
16;1;32;256;1;0.038
16;4;32;256;1;0.028
16;8;32;256;1;0.028
16;16;32;256;1;0.029
16;32;32;256;1;0.029
32;1;32;256;1;0.029
32;4;32;256;1;0.028
32;8;32;256;1;0.029
32;16;32;256;1;0.029
32;32;32;256;1;0.029
1;1;32;256;2;0.16
1;4;32;256;2;0.06
1;8;32;256;2;0.044
1;16;32;256;2;0.034
1;32;32;256;2;0.028
4;1;32;256;2;0.067
4;4;32;256;2;0.044
4;8;32;256;2;0.034
4;16;32;256;2;0.033
4;32;32;256;2;0.033
8;1;32;256;2;0.056
8;4;32;256;2;0.032
8;8;32;256;2;0.033
8;16;32;256;2;0.034
8;32;32;256;2;0.034
16;1;32;256;2;0.044
16;4;32;256;2;0.033
16;8;32;256;2;0.033
16;16;32;256;2;0.033
16;32;32;256;2;0.034
32;1;32;256;2;0.032
32;4;32;256;2;0.032
32;8;32;256;2;0.033
32;16;32;256;2;0.034
32;32;32;256;2;0.034
1;1;32;256;5;0.209
1;4;32;256;5;0.077
1;8;32;256;5;0.054
1;16;32;256;5;0.043
1;32;32;256;5;0.036
4;1;32;256;5;0.084
4;4;32;256;5;0.057
4;8;32;256;5;0.046
4;16;32;256;5;0.044
4;32;32;256;5;0.044
8;1;32;256;5;0.072
8;4;32;256;5;0.045
8;8;32;256;5;0.044
8;16;32;256;5;0.046
8;32;32;256;5;0.045
16;1;32;256;5;0.055
16;4;32;256;5;0.044
16;8;32;256;5;0.044
16;16;32;256;5;0.045
16;32;32;256;5;0.046
32;1;32;256;5;0.043
32;4;32;256;5;0.043
32;8;32;256;5;0.044
32;16;32;256;5;0.046
32;32;32;256;5;0.047
1;1;32;256;10;0.288
1;4;32;256;10;0.106
1;8;32;256;10;0.073
1;16;32;256;10;0.057
1;32;32;256;10;0.048
4;1;32;256;10;0.113
4;4;32;256;10;0.062
4;8;32;256;10;0.062
4;16;32;256;10;0.062
4;32;32;256;10;0.062
8;1;32;256;10;0.095
8;4;32;256;10;0.057
8;8;32;256;10;0.06
8;16;32;256;10;0.059
8;32;32;256;10;0.059
16;1;32;256;10;0.075
16;4;32;256;10;0.06
16;8;32;256;10;0.064
16;16;32;256;10;0.063
16;32;32;256;10;0.068
32;1;32;256;10;0.063
32;4;32;256;10;0.064
32;8;32;256;10;0.067
32;16;32;256;10;0.069
32;32;32;256;10;0.071
1;1;32;512;1;0.274
1;4;32;512;1;0.1
1;8;32;512;1;0.066
1;16;32;512;1;0.045
1;32;32;512;1;0.034
4;1;32;512;1;0.112
4;4;32;512;1;0.05
4;8;32;512;1;0.037
4;16;32;512;1;0.029
4;32;32;512;1;0.03
8;1;32;512;1;0.072
8;4;32;512;1;0.038
8;8;32;512;1;0.035
8;16;32;512;1;0.034
8;32;32;512;1;0.035
16;1;32;512;1;0.063
16;4;32;512;1;0.04
16;8;32;512;1;0.035
16;16;32;512;1;0.034
16;32;32;512;1;0.035
32;1;32;512;1;0.047
32;4;32;512;1;0.036
32;8;32;512;1;0.035
32;16;32;512;1;0.035
32;32;32;512;1;0.036
1;1;32;512;2;0.308
1;4;32;512;2;0.111
1;8;32;512;2;0.075
1;16;32;512;2;0.052
1;32;32;512;2;0.041
4;1;32;512;2;0.123
4;4;32;512;2;0.056
4;8;32;512;2;0.044
4;16;32;512;2;0.034
4;32;32;512;2;0.035
8;1;32;512;2;0.078
8;4;32;512;2;0.051
8;8;32;512;2;0.046
8;16;32;512;2;0.04
8;32;32;512;2;0.039
16;1;32;512;2;0.068
16;4;32;512;2;0.045
16;8;32;512;2;0.039
16;16;32;512;2;0.041
16;32;32;512;2;0.039
32;1;32;512;2;0.049
32;4;32;512;2;0.038
32;8;32;512;2;0.039
32;16;32;512;2;0.04
32;32;32;512;2;0.04
1;1;32;512;5;0.394
1;4;32;512;5;0.143
1;8;32;512;5;0.097
1;16;32;512;5;0.07
1;32;32;512;5;0.054
4;1;32;512;5;0.156
4;4;32;512;5;0.07
4;8;32;512;5;0.059
4;16;32;512;5;0.048
4;32;32;512;5;0.047
8;1;32;512;5;0.102
8;4;32;512;5;0.069
8;8;32;512;5;0.058
8;16;32;512;5;0.058
8;32;32;512;5;0.057
16;1;32;512;5;0.09
16;4;32;512;5;0.063
16;8;32;512;5;0.054
16;16;32;512;5;0.055
16;32;32;512;5;0.054
32;1;32;512;5;0.066
32;4;32;512;5;0.055
32;8;32;512;5;0.054
32;16;32;512;5;0.056
32;32;32;512;5;0.056
1;1;32;512;10;0.556
1;4;32;512;10;0.197
1;8;32;512;10;0.13
1;16;32;512;10;0.093
1;32;32;512;10;0.072
4;1;32;512;10;0.213
4;4;32;512;10;0.102
4;8;32;512;10;0.084
4;16;32;512;10;0.072
4;32;32;512;10;0.072
8;1;32;512;10;0.138
8;4;32;512;10;0.081
8;8;32;512;10;0.073
8;16;32;512;10;0.067
8;32;32;512;10;0.07
16;1;32;512;10;0.098
16;4;32;512;10;0.08
16;8;32;512;10;0.082
16;16;32;512;10;0.083
16;32;32;512;10;0.081
32;1;32;512;10;0.091
32;4;32;512;10;0.077
32;8;32;512;10;0.077
32;16;32;512;10;0.077
32;32;32;512;10;0.076
1;1;32;1024;1;0.504
1;4;32;1024;1;0.193
1;8;32;1024;1;0.12
1;16;32;1024;1;0.075
1;32;32;1024;1;0.053
4;1;32;1024;1;0.214
4;4;32;1024;1;0.082
4;8;32;1024;1;0.058
4;16;32;1024;1;0.042
4;32;32;1024;1;0.042
8;1;32;1024;1;0.129
8;4;32;1024;1;0.057
8;8;32;1024;1;0.044
8;16;32;1024;1;0.042
8;32;32;1024;1;0.043
16;1;32;1024;1;0.083
16;4;32;1024;1;0.049
16;8;32;1024;1;0.047
16;16;32;1024;1;0.051
16;32;32;1024;1;0.051
32;1;32;1024;1;0.068
32;4;32;1024;1;0.048
32;8;32;1024;1;0.051
32;16;32;1024;1;0.052
32;32;32;1024;1;0.051
1;1;32;1024;2;0.577
1;4;32;1024;2;0.214
1;8;32;1024;2;0.132
1;16;32;1024;2;0.084
1;32;32;1024;2;0.061
4;1;32;1024;2;0.235
4;4;32;1024;2;0.092
4;8;32;1024;2;0.066
4;16;32;1024;2;0.052
4;32;32;1024;2;0.053
8;1;32;1024;2;0.142
8;4;32;1024;2;0.065
