strategy;mean;median;std
cols;0.09227754586226852;0.024085099999999998;0.17650123469224363
rows;0.0954009783886317;0.024583849999999997;0.18339311402692643
blocks;0.09570910678047839;0.024465733333333337;0.18308884426664646
