nProcs;mean;median;std
1;0.06912327222222221;0.015710000000000002;0.14025107354640698
4;0.09735209017489711;0.02195305;0.19338547944174392
8;0.10274336658950617;0.02504205;0.19670390524292417
16;0.11918899969135803;0.038228200000000004;0.20658653744926672
