strategy;nFotogramas;width;height;ns;nProcs;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;5;64;32;5;8;0,0206514;0,0109597;0,0110676;0,01093;0,020461;0,0206514
cols;5;64;32;10;8;0,0406536;0,0220875;0,0221562;0,0221942;0,0406536;0,0405077
cols;5;64;64;1;8;0,009675;0,0056917;0,0055539;0,0056333;0,0096435;0,009675
cols;5;64;64;2;8;0,0277151;0,0188565;0,0105816;0,0174471;0,0193831;0,0277151
cols;5;64;64;5;8;0,0454037;0,0244256;0,0245739;0,0245469;0,0447914;0,0454037
cols;5;64;64;10;8;0,0908141;0,0491892;0,0544645;0,0546849;0,0908141;0,0907276
cols;5;64;256;1;8;0,0409192;0,0214492;0,0214039;0,0213051;0,0408055;0,0409192
cols;5;64;256;2;8;0,114189;0,0489331;0,0456478;0,0723824;0,086693;0,114189
cols;5;64;256;5;8;0,256514;0,1109;0,111225;0,110853;0,255779;0,256514
cols;5;64;256;10;8;0,44314;0,229982;0,221229;0,258541;0,407511;0,44314
cols;5;64;512;1;8;0,102755;0,0428421;0,0570357;0,0442394;0,102755;0,0952903
cols;5;64;512;2;8;0,167789;0,087227;0,0874254;0,0873967;0,167558;0,167789
cols;5;64;512;5;8;0,4175;0,215236;0,215846;0,215229;0,4175;0,405624
cols;5;64;512;10;8;0,831664;0,439973;0,436698;0,481158;0,831664;0,829488
cols;5;64;1024;1;8;0,17507;0,0869293;0,0868631;0,101228;0,167898;0,17507
cols;5;64;1024;2;8;0,32874;0,17557;0,175688;0,175244;0,328598;0,32874
cols;5;64;1024;5;8;0,838828;0,439544;0,452395;0,443491;0,823844;0,838828
cols;5;64;1024;10;8;1,67529;0,88775;0,906499;0,882225;1,67529;1,65649
cols;5;256;32;1;8;0,0136817;0,0074312;0,0074337;0,0073263;0,0136817;0,013619
cols;5;256;32;2;8;0,0286742;0,0144078;0,0252739;0,0142068;0,0284695;0,0286742
cols;5;256;32;5;8;0,0672792;0,0351298;0,0349744;0,0349576;0,0672431;0,0672792
cols;5;256;32;10;8;0,16147;0,0709185;0,0936872;0,0745341;0,16147;0,133305
cols;5;256;64;1;8;0,0295004;0,0154856;0,0157075;0,0156313;0,0295004;0,0294853
cols;5;256;64;2;8;0,0711883;0,0298241;0,0416378;0,0294348;0,0711883;0,0564106
cols;5;256;64;5;8;0,142048;0,0864873;0,0880476;0,0866043;0,141786;0,142048
cols;5;256;64;10;8;0,291033;0,193696;0,193893;0,194059;0,290303;0,291033
cols;5;256;256;1;8;0,15008;0,0834631;0,0831634;0,0828884;0,15005;0,15008
cols;5;256;256;2;8;0,336659;0,165527;0,165577;0,20488;0,336659;0,296847
cols;5;256;256;5;8;0,756371;0,446483;0,419886;0,417385;0,752619;0,756371
cols;5;256;256;10;8;1,48913;0,824423;0,820677;0,919025;1,46776;1,48913
cols;5;256;512;1;8;0,324127;0,168518;0,18131;0,182483;0,323285;0,324127
cols;5;256;512;2;8;0,630395;0,329792;0,346881;0,344947;0,630101;0,630395
cols;5;256;512;5;8;1,60013;0,832565;0,866744;0,847268;1,57698;1,60013
cols;5;256;512;10;8;3,16702;1,72873;1,69053;1,67624;3,16702;3,15644
cols;5;256;1024;1;8;0,652453;0,360738;0,363368;0,387955;0,640639;0,652453
cols;5;256;1024;2;8;1,34435;0,729576;0,700984;0,698294;1,34435;1,30014
cols;5;256;1024;5;8;3,18268;1,71501;1,77423;1,7188;3,16617;3,18268
cols;5;256;1024;10;8;6,49389;3,50153;3,48206;3,50578;6,49389;6,4786
cols;5;512;32;1;8;0,0246479;0,0125728;0,0125922;0,0126765;0,0243772;0,0246479
cols;5;512;32;2;8;0,0548787;0,0283392;0,0273282;0,0274492;0,0548787;0,0506093
cols;5;512;32;5;8;0,150879;0,0652594;0,0913298;0,0650009;0,126425;0,150879
cols;5;512;32;10;8;0,24669;0,151424;0,126907;0,154443;0,24669;0,245776
cols;5;512;64;1;8;0,0759971;0,050069;0,0281309;0,0280677;0,0759971;0,0551519
cols;5;512;64;2;8;0,109062;0,0563677;0,0561459;0,0562563;0,109062;0,108792
cols;5;512;64;5;8;0,268129;0,138891;0,153747;0,13888;0,268129;0,266268
cols;5;512;64;10;8;0,536659;0,279811;0,280382;0,279017;0,536659;0,531487
cols;5;512;256;1;8;0,250697;0,13658;0,136759;0,136104;0,250644;0,250697
cols;5;512;256;2;8;0,508396;0,276453;0,276685;0,276849;0,508396;0,505454
cols;5;512;256;5;8;1,28612;0,690062;0,73095;0,695597;1,28337;1,28612
cols;5;512;256;10;8;2,55642;1,38506;1,37555;1,4258;2,55642;2,54359
cols;5;512;512;1;8;0,588896;0,330348;0,330836;0,330698;0,584101;0,588896
cols;5;512;512;2;8;1,17991;0,659936;0,663853;0,660799;1,17991;1,17661
cols;5;512;512;5;8;2,95837;1,64834;1,70048;1,66378;2,95837;2,93037
cols;5;512;512;10;8;5,86143;3,34743;3,33692;3,36781;5,84712;5,86143
cols;5;512;1024;1;8;1,32109;0,694971;0,691588;0,699607;1,30305;1,32109
cols;5;512;1024;2;8;2,55822;1,33051;1,36734;1,32387;2,55822;2,52518
cols;5;512;1024;5;8;6,36701;3,34906;3,34566;3,34521;6,36415;6,36701
cols;5;512;1024;10;8;12,617;6,71133;6,70256;6,64466;12,617;12,6011
cols;5;1024;32;1;8;0,0424585;0,0213762;0,0214039;0,0214117;0,0423737;0,0424585
cols;5;1024;32;2;8;0,0859308;0,0433461;0,0434861;0,0769576;0,0859308;0,0853198
cols;5;1024;32;5;8;0,218939;0,119577;0,108392;0,106997;0,2069;0,218939
cols;5;1024;32;10;8;0,415396;0,212864;0,250852;0,251326;0,412633;0,415396
cols;5;1024;64;1;8;0,0994096;0,0537598;0,0690157;0,0501304;0,0989646;0,0994096
cols;5;1024;64;2;8;0,202639;0,107397;0,106909;0,102779;0,202639;0,197952
cols;5;1024;64;5;8;0,496923;0,299248;0,298722;0,293621;0,496923;0,495419
cols;5;1024;64;10;8;0,970563;0,512222;0,525907;0,541212;0,969574;0,970563
cols;5;1024;256;1;8;0,466889;0,249876;0,252119;0,248891;0,466889;0,46344
cols;5;1024;256;2;8;0,921756;0,491946;0,491019;0,494753;0,921438;0,921756
cols;5;1024;256;5;8;2,28993;1,22664;1,21665;1,22529;2,28164;2,28993
cols;5;1024;256;10;8;4,57603;2,45673;2,45632;2,44801;4,57603;4,55101
cols;5;1024;512;1;8;1,02969;0,566999;0,568331;0,560068;1,02969;1,02002
cols;5;1024;512;2;8;2,00735;1,1238;1,12093;1,11296;2,00735;1,98847
cols;5;1024;512;5;8;5,07772;2,75722;2,78372;2,76239;5,0371;5,07772
cols;5;1024;512;10;8;10,0527;5,5442;5,54131;5,48993;9,96844;10,0527
cols;5;1024;1024;1;8;2,37233;1,36924;1,32602;1,31749;2,35761;2,37233
cols;5;1024;1024;2;8;4,71926;2,70044;2,7054;2,6342;4,71926;4,68382
cols;5;1024;1024;5;8;11,6413;6,56434;6,60312;6,53359;11,6328;11,6413
cols;5;1024;1024;10;8;23,2062;13,2568;13,3078;13,1985;23,1789;23,2062
cols;1;32;32;1;16;0,0017166;0,0017166;;;;
cols;1;32;32;2;16;0,00253;0,00253;;;;
cols;1;32;32;5;16;0,0034692;0,0034692;;;;
cols;1;32;32;10;16;0,0048302;0,0048302;;;;
cols;1;32;64;1;16;0,0024482;0,0024482;;;;
cols;1;32;64;2;16;0,0034109;0,0034109;;;;
cols;1;32;64;5;16;0,0048065;0,0048065;;;;
cols;1;32;64;10;16;0,0112283;0,0112283;;;;
cols;1;32;256;1;16;0,0044624;0,0044624;;;;
cols;1;32;256;2;16;0,0086606;0,0086606;;;;
cols;1;32;256;5;16;0,0191978;0,0191978;;;;
cols;1;32;256;10;16;0,0379018;0,0379018;;;;
cols;1;32;512;1;16;0,0105989;0,0105989;;;;
cols;1;32;512;2;16;0,0166862;0,0166862;;;;
cols;1;32;512;5;16;0,0320975;0,0320975;;;;
cols;1;32;512;10;16;0,0530156;0,0530156;;;;
cols;1;32;1024;1;16;0,0203086;0,0203086;;;;
cols;1;32;1024;2;16;0,0318491;0,0318491;;;;
cols;1;32;1024;5;16;0,055449;0,055449;;;;
cols;1;32;1024;10;16;0,10473;0,10473;;;;
cols;1;64;32;1;16;0,0022957;0,0022957;;;;
cols;1;64;32;2;16;0,0029366;0,0029366;;;;
cols;1;64;32;5;16;0,0053859;0,0053859;;;;
cols;1;64;32;10;16;0,0089922;0,0089922;;;;
cols;1;64;64;1;16;0,0034483;0,0034483;;;;
cols;1;64;64;2;16;0,0042727;0,0042727;;;;
cols;1;64;64;5;16;0,0094096;0,0094096;;;;
cols;1;64;64;10;16;0,0152464;0,0152464;;;;
cols;1;64;256;1;16;0,0082648;0,0082648;;;;
cols;1;64;256;2;16;0,0157078;0,0157078;;;;
cols;1;64;256;5;16;0,0328787;0,0328787;;;;
cols;1;64;256;10;16;0,0606633;0,0606633;;;;
cols;1;64;512;1;16;0,0166875;0,0166875;;;;
cols;1;64;512;2;16;0,020472;0,020472;;;;
cols;1;64;512;5;16;0,0580716;0,0580716;;;;
cols;1;64;512;10;16;0,10786;0,10786;;;;
cols;1;64;1024;1;16;0,0281173;0,0281173;;;;
cols;1;64;1024;2;16;0,0437802;0,0437802;;;;
cols;1;64;1024;5;16;0,105754;0,105754;;;;
cols;1;64;1024;10;16;0,205072;0,205072;;;;
cols;1;256;32;1;16;0,0046052;0,0046052;;;;
cols;1;256;32;2;16;0,0061534;0,0061534;;;;
cols;1;256;32;5;16;0,0152455;0,0152455;;;;
cols;1;256;32;10;16;0,0220008;0,0220008;;;;
cols;1;256;64;1;16;0,0082544;0,0082544;;;;
cols;1;256;64;2;16;0,012861;0,012861;;;;
cols;1;256;64;5;16;0,0252102;0,0252102;;;;
cols;1;256;64;10;16;0,0494979;0,0494979;;;;
cols;1;256;256;1;16;0,0271037;0,0271037;;;;
cols;1;256;256;2;16;0,0436747;0,0436747;;;;
cols;1;256;256;5;16;0,106767;0,106767;;;;
cols;1;256;256;10;16;0,207639;0,207639;;;;
cols;1;256;512;1;16;0,0509726;0,0509726;;;;
cols;1;256;512;2;16;0,0874234;0,0874234;;;;
cols;1;256;512;5;16;0,211874;0,211874;;;;
cols;1;256;512;10;16;0,406939;0,406939;;;;
cols;1;256;1024;1;16;0,0884403;0,0884403;;;;
cols;1;256;1024;2;16;0,166784;0,166784;;;;
cols;1;256;1024;5;16;0,406477;0,406477;;;;
cols;1;256;1024;10;16;0,801655;0,801655;;;;
cols;1;512;32;1;16;0,0059542;0,0059542;;;;
cols;1;512;32;2;16;0,0096429;0,0096429;;;;
cols;1;512;32;5;16;0,023564;0,023564;;;;
cols;1;512;32;10;16;0,0404655;0,0404655;;;;
cols;1;512;64;1;16;0,010714;0,010714;;;;
cols;1;512;64;2;16;0,0210546;0,0210546;;;;
cols;1;512;64;5;16;0,0473762;0,0473762;;;;
cols;1;512;64;10;16;0,0823323;0,0823323;;;;
cols;1;512;256;1;16;0,0421611;0,0421611;;;;
cols;1;512;256;2;16;0,0804141;0,0804141;;;;
cols;1;512;256;5;16;0,181104;0,181104;;;;
cols;1;512;256;10;16;0,362732;0,362732;;;;
cols;1;512;512;1;16;0,0863677;0,0863677;;;;
cols;1;512;512;2;16;0,169455;0,169455;;;;
cols;1;512;512;5;16;0,385979;0,385979;;;;
cols;1;512;512;10;16;0,799522;0,799522;;;;
cols;1;512;1024;1;16;0,183076;0,183076;;;;
cols;1;512;1024;2;16;0,329265;0,329265;;;;
cols;1;512;1024;5;16;0,824063;0,824063;;;;
cols;1;512;1024;10;16;1,60044;1,60044;;;;
cols;1;1024;32;1;16;0,0103471;0,0103471;;;;
cols;1;1024;32;2;16;0,0152199;0,0152199;;;;
cols;1;1024;32;5;16;0,0338377;0,0338377;;;;
cols;1;1024;32;10;16;0,0643333;0,0643333;;;;
cols;1;1024;64;1;16;0,0192892;0,0192892;;;;
cols;1;1024;64;2;16;0,0280177;0,0280177;;;;
cols;1;1024;64;5;16;0,0744927;0,0744927;;;;
cols;1;1024;64;10;16;0,157232;0,157232;;;;
cols;1;1024;256;1;16;0,0731491;0,0731491;;;;
cols;1;1024;256;2;16;0,138382;0,138382;;;;
cols;1;1024;256;5;16;0,33256;0,33256;;;;
cols;1;1024;256;10;16;0,651034;0,651034;;;;
cols;1;1024;512;1;16;0,154738;0,154738;;;;
cols;1;1024;512;2;16;0,294051;0,294051;;;;
cols;1;1024;512;5;16;0,749689;0,749689;;;;
cols;1;1024;512;10;16;1,37939;1,37939;;;;
cols;1;1024;1024;1;16;0,337254;0,337254;;;;
cols;1;1024;1024;2;16;0,64604;0,64604;;;;
cols;1;1024;1024;5;16;1,55135;1,55135;;;;
cols;1;1024;1024;10;16;3,13003;3,13003;;;;
cols;2;32;32;1;16;0,002348;0,002348;0,0022361;;;
cols;2;32;32;2;16;0,0031268;0,0027228;0,0031268;;;
cols;2;32;32;5;16;0,0047342;0,0047342;0,0044339;;;
cols;2;32;32;10;16;0,0116801;0,007493;0,0116801;;;
cols;2;32;64;1;16;0,0030635;0,0030635;0,0029273;;;
cols;2;32;64;2;16;0,0046664;0,0046664;0,0045862;;;
cols;2;32;64;5;16;0,0101462;0,0074398;0,0101462;;;
cols;2;32;64;10;16;0,0197224;0,0197224;0,0138956;;;
cols;2;32;256;1;16;0,0088868;0,006474;0,0088868;;;
cols;2;32;256;2;16;0,0173958;0,0152086;0,0173958;;;
cols;2;32;256;5;16;0,0248809;0,0244459;0,0248809;;;
cols;2;32;256;10;16;0,0574375;0,0529835;0,0574375;;;
cols;2;32;512;1;16;0,0124991;0,012448;0,0124991;;;
cols;2;32;512;2;16;0,0269782;0,0269782;0,023237;;;
cols;2;32;512;5;16;0,0595462;0,0595462;0,0549336;;;
cols;2;32;512;10;16;0,105849;0,105258;0,105849;;;
cols;2;32;1024;1;16;0,026369;0,026369;0,0217324;;;
cols;2;32;1024;2;16;0,051913;0,051913;0,0416806;;;
cols;2;32;1024;5;16;0,109771;0,109771;0,102631;;;
cols;2;32;1024;10;16;0,198215;0,198215;0,197584;;;
cols;2;64;32;1;16;0,0027992;0,0027992;0,0027087;;;
cols;2;64;32;2;16;0,0043105;0,0043105;0,0039528;;;
cols;2;64;32;5;16;0,0088051;0,0080516;0,0088051;;;
cols;2;64;32;10;16;0,0157155;0,0132943;0,0157155;;;
cols;2;64;64;1;16;0,004757;0,004757;0,0042232;;;
cols;2;64;64;2;16;0,0074648;0,0074648;0,0069616;;;
cols;2;64;64;5;16;0,0182273;0,0134386;0,0182273;;;
cols;2;64;64;10;16;0,0327948;0,0287001;0,0327948;;;
cols;2;64;256;1;16;0,0175224;0,012248;0,0175224;;;
cols;2;64;256;2;16;0,0278531;0,0278531;0,0211864;;;
cols;2;64;256;5;16;0,0600905;0,0600905;0,0534165;;;
cols;2;64;256;10;16;0,103773;0,101877;0,103773;;;
cols;2;64;512;1;16;0,0256356;0,0256356;0,022137;;;
cols;2;64;512;2;16;0,0418545;0,0418545;0,0407246;;;
cols;2;64;512;5;16;0,109475;0,105014;0,109475;;;
cols;2;64;512;10;16;0,211425;0,211425;0,210138;;;
cols;2;64;1024;1;16;0,0497909;0,042451;0,0497909;;;
cols;2;64;1024;2;16;0,0936594;0,0895848;0,0936594;;;
cols;2;64;1024;5;16;0,211008;0,207278;0,211008;;;
cols;2;64;1024;10;16;0,418985;0,418985;0,415433;;;
cols;2;256;32;1;16;0,0068003;0,0052992;0,0068003;;;
cols;2;256;32;2;16;0,0108303;0,0085565;0,0108303;;;
cols;2;256;32;5;16;0,0266996;0,0266996;0,019685;;;
cols;2;256;32;10;16;0,0414166;0,0388194;0,0414166;;;
cols;2;256;64;1;16;0,0114776;0,0107751;0,0114776;;;
cols;2;256;64;2;16;0,0183574;0,0181455;0,0183574;;;
cols;2;256;64;5;16;0,0501648;0,0501648;0,0498394;;;
cols;2;256;64;10;16;0,0877286;0,081882;0,0877286;;;
cols;2;256;256;1;16;0,0438553;0,0428771;0,0438553;;;
cols;2;256;256;2;16;0,0836047;0,0836047;0,0828288;;;
cols;2;256;256;5;16;0,202124;0,201705;0,202124;;;
cols;2;256;256;10;16;0,393251;0,393251;0,37136;;;
cols;2;256;512;1;16;0,0916236;0,0916236;0,0847954;;;
cols;2;256;512;2;16;0,167456;0,164637;0,167456;;;
cols;2;256;512;5;16;0,41138;0,41138;0,410889;;;
cols;2;256;512;10;16;0,817235;0,815099;0,817235;;;
cols;2;256;1024;1;16;0,167464;0,165902;0,167464;;;
cols;2;256;1024;2;16;0,327988;0,32633;0,327988;;;
cols;2;256;1024;5;16;0,817738;0,813676;0,817738;;;
cols;2;256;1024;10;16;1,59096;1,5861;1,59096;;;
cols;2;512;32;1;16;0,0094234;0,0094234;0,0081009;;;
cols;2;512;32;2;16;0,0185933;0,0145102;0,0185933;;;
cols;2;512;32;5;16;0,0373184;0,0373184;0,0358837;;;
cols;2;512;32;10;16;0,0763744;0,0763744;0,0702405;;;
cols;2;512;64;1;16;0,0213005;0,0162078;0,0213005;;;
cols;2;512;64;2;16;0,0311021;0,0311021;0,0308556;;;
cols;2;512;64;5;16;0,078826;0,078826;0,0758298;;;
cols;2;512;64;10;16;0,147204;0,145671;0,147204;;;
cols;2;512;256;1;16;0,084011;0,084011;0,0747742;;;
cols;2;512;256;2;16;0,14073;0,14073;0,140275;;;
cols;2;512;256;5;16;0,340948;0,340178;0,340948;;;
cols;2;512;256;10;16;0,669936;0,669936;0,659408;;;
cols;2;512;512;1;16;0,169951;0,169951;0,165818;;;
cols;2;512;512;2;16;0,32292;0,312466;0,32292;;;
cols;2;512;512;5;16;0,78161;0,78161;0,776371;;;
cols;2;512;512;10;16;1,53283;1,51823;1,53283;;;
cols;2;512;1024;1;16;0,339583;0,334338;0,339583;;;
cols;2;512;1024;2;16;0,674897;0,645496;0,674897;;;
cols;2;512;1024;5;16;1,63336;1,59889;1,63336;;;
cols;2;512;1024;10;16;3,3517;3,27982;3,3517;;;
cols;2;1024;32;1;16;0,0186896;0,0136848;0,0186896;;;
cols;2;1024;32;2;16;0,0339482;0,0260119;0,0339482;;;
cols;2;1024;32;5;16;0,0699251;0,0699251;0,0607238;;;
cols;2;1024;32;10;16;0,126413;0,125509;0,126413;;;
cols;2;1024;64;1;16;0,0308996;0,0281638;0,0308996;;;
cols;2;1024;64;2;16;0,0577255;0,0577255;0,0567611;;;
cols;2;1024;64;5;16;0,155074;0,132171;0,155074;;;
cols;2;1024;64;10;16;0,26998;0,259972;0,26998;;;
cols;2;1024;256;1;16;0,139996;0,139996;0,137031;;;
cols;2;1024;256;2;16;0,27481;0,27481;0,27275;;;
cols;2;1024;256;5;16;0,655396;0,655396;0,648104;;;
cols;2;1024;256;10;16;1,30857;1,30857;1,30217;;;
cols;2;1024;512;1;16;0,289189;0,284622;0,289189;;;
cols;2;1024;512;2;16;0,552084;0,549418;0,552084;;;
cols;2;1024;512;5;16;1,36068;1,35154;1,36068;;;
cols;2;1024;512;10;16;2,69699;2,69699;2,67183;;;
cols;2;1024;1024;1;16;0,651337;0,651337;0,64491;;;
cols;2;1024;1024;2;16;1,26486;1,26486;1,25237;;;
cols;2;1024;1024;5;16;3,143;3,0823;3,143;;;
cols;2;1024;1024;10;16;6,06436;6,06436;5,99217;;;
cols;5;32;32;1;16;0,0022757;0,0019768;0,0022757;0,002212;0,0022536;0,0021323
cols;5;32;32;2;16;0,0058653;0,003241;0,0038197;0,0040422;0,0038837;0,0058653
cols;5;32;32;5;16;0,0117974;0,006597;0,008375;0,0117974;0,0084316;0,008872
cols;5;32;32;10;16;0,0228978;0,0127122;0,0151139;0,0228978;0,0165993;0,0164016
cols;5;32;64;1;16;0,0052077;0,0034348;0,0039235;0,0049516;0,0052077;0,0040157
cols;5;32;64;2;16;0,0098466;0,0056707;0,0069345;0,0098466;0,0071474;0,0073774
cols;5;32;64;5;16;0,0228025;0,0132759;0,0169614;0,0173887;0,0228025;0,0163595
cols;5;32;64;10;16;0,0381096;0,0381096;0,0325787;0,0330368;0,0365917;0,0325268
cols;5;32;256;1;16;0,0194902;0,0109959;0,0171171;0,0151651;0,019108;0,0194902
cols;5;32;256;2;16;0,029838;0,0210397;0,0278715;0,029838;0,0273628;0,0284335
cols;5;32;256;5;16;0,0755411;0,0526216;0,0726443;0,0755411;0,0657758;0,0726759
cols;5;32;256;10;16;0,143735;0,117351;0,143542;0,143735;0,141878;0,13315
cols;5;32;512;1;16;0,0377138;0,0212717;0,0281856;0,0377138;0,0279177;0,0267497
cols;5;32;512;2;16;0,0624157;0,0433689;0,0566458;0,0579677;0,0542336;0,0624157
cols;5;32;512;5;16;0,139545;0,107303;0,138984;0,138879;0,139545;0,135288
cols;5;32;512;10;16;0,280025;0,213205;0,261107;0,267283;0,280025;0,272637
cols;5;32;1024;1;16;0,054336;0,039831;0,0536601;0,05367;0,0541747;0,054336
cols;5;32;1024;2;16;0,120409;0,0835615;0,110123;0,120409;0,107552;0,103361
cols;5;32;1024;5;16;0,276211;0,20629;0,260743;0,26951;0,276211;0,269525
cols;5;32;1024;10;16;0,530301;0,402847;0,530301;0,516298;0,517254;0,51466
cols;5;64;32;1;16;0,0042226;0,0032152;0,003833;0,0040097;0,003561;0,0042226
cols;5;64;32;2;16;0,0080223;0,0052727;0,0062515;0,0080223;0,0062331;0,0065503
cols;5;64;32;5;16;0,0199153;0,0121346;0,0144895;0,0199153;0,0143099;0,0143103
cols;5;64;32;10;16;0,0407554;0,0245505;0,0286855;0,0407554;0,0287612;0,0281243
cols;5;64;64;1;16;0,0096543;0,0057565;0,007109;0,0096543;0,006922;0,0071586
cols;5;64;64;2;16;0,0164998;0,0100755;0,0133119;0,0164998;0,013023;0,0129261
cols;5;64;64;5;16;0,0424851;0,025119;0,0334321;0,0424851;0,0333299;0,0331694
cols;5;64;64;10;16;0,0663059;0,0506898;0,059489;0,0663059;0,0602918;0,0592357
cols;5;64;256;1;16;0,0327532;0,0244198;0,0327532;0,0271527;0,0277109;0,0267124
cols;5;64;256;2;16;0,0600942;0,0509765;0,0568932;0,0600942;0,0541803;0,0533561
cols;5;64;256;5;16;0,137675;0,105023;0,132229;0,137675;0,13688;0,135963
cols;5;64;256;10;16;0,268955;0,209532;0,268955;0,263453;0,267857;0,259557
cols;5;64;512;1;16;0,0666086;0,0439565;0,0561373;0,0580814;0,0666086;0,0564003
cols;5;64;512;2;16;0,112624;0,084847;0,112349;0,106932;0,112624;0,103371
cols;5;64;512;5;16;0,274325;0,210407;0,260242;0,273743;0,274325;0,253391
cols;5;64;512;10;16;0,542835;0,441648;0,537196;0,511475;0,542835;0,525276
cols;5;64;1024;1;16;0,125182;0,110898;0,116998;0,125182;0,121152;0,115007
cols;5;64;1024;2;16;0,227381;0,172079;0,208899;0,227381;0,213039;0,221329
cols;5;64;1024;5;16;0,545852;0,42408;0,53698;0,525419;0,528943;0,545852
cols;5;64;1024;10;16;1,08875;0,846961;1,08875;1,02639;1,06344;1,08782
cols;5;256;32;1;16;0,0134797;0,0080451;0,0097466;0,0134797;0,0102103;0,0095548
cols;5;256;32;2;16;0,0248199;0,0148353;0,0202649;0,0248199;0,0202978;0,0191872
cols;5;256;32;5;16;0,0511819;0,036455;0,0478401;0,0509123;0,0511819;0,0446633
cols;5;256;32;10;16;0,094458;0,0853814;0,0919635;0,094351;0,094458;0,0913644
cols;5;256;64;1;16;0,0266849;0,0157108;0,0210176;0,0212594;0,0210258;0,0266849
cols;5;256;64;2;16;0,0513165;0,0344405;0,045629;0,0437227;0,0417126;0,0513165
cols;5;256;64;5;16;0,111229;0,0803814;0,111229;0,0978633;0,109696;0,108026
cols;5;256;64;10;16;0,206293;0,168117;0,201325;0,194824;0,206293;0,205551
cols;5;256;256;1;16;0,104511;0,0819107;0,102107;0,104046;0,103609;0,104511
cols;5;256;256;2;16;0,216984;0,165062;0,192162;0,194309;0,216984;0,200513
cols;5;256;256;5;16;0,485684;0,404781;0,485684;0,476995;0,470429;0,481049
cols;5;256;256;10;16;0,94198;0,787872;0,912368;0,94198;0,94037;0,936571
cols;5;256;512;1;16;0,226415;0,169801;0,206121;0,226415;0,207311;0,21513
cols;5;256;512;2;16;0,423252;0,334539;0,417129;0,423252;0,415208;0,416796
cols;5;256;512;5;16;1,03905;0,81161;1,03629;1,03617;1,03905;1,03053
cols;5;256;512;10;16;2,03091;1,65132;2,00196;2,00438;2,02579;2,03091
cols;5;256;1024;1;16;0,431417;0,335268;0,419867;0,431417;0,417243;0,426833
cols;5;256;1024;2;16;0,853041;0,673128;0,842946;0,840746;0,853041;0,848487
cols;5;256;1024;5;16;2,06928;1,62605;2,06928;2,06405;2,02374;2,04862
cols;5;256;1024;10;16;4,11974;3,30827;4,04292;4,11974;4,02033;3,92131
cols;5;512;32;1;16;0,0253286;0,0141016;0,0190007;0,0253286;0,0188944;0,0191673
cols;5;512;32;2;16;0,0412762;0,0278382;0,0353727;0,0344736;0,0334228;0,0412762
cols;5;512;32;5;16;0,0903135;0,0698877;0,0869634;0,0888721;0,0838944;0,0903135
cols;5;512;32;10;16;0,166669;0,133591;0,166669;0,151102;0,166581;0,158002
cols;5;512;64;1;16;0,0480292;0,0300516;0,0388256;0,0480292;0,0389259;0,0353786
cols;5;512;64;2;16;0,0727311;0,057627;0,0657132;0,0723756;0,0727311;0,0696295
cols;5;512;64;5;16;0,192691;0,149874;0,183739;0,181123;0,192691;0,190971
cols;5;512;64;10;16;0,3723;0,301321;0,362047;0,3723;0,361814;0,357072
cols;5;512;256;1;16;0,186859;0,15459;0,186859;0,178256;0,179365;0,174263
cols;5;512;256;2;16;0,369363;0,318443;0,356268;0,355772;0,369363;0,338843
cols;5;512;256;5;16;0,89221;0,765981;0,89221;0,89033;0,829776;0,849401
cols;5;512;256;10;16;1,76661;1,43348;1,69434;1,69977;1,73198;1,76661
cols;5;512;512;1;16;0,4035;0,324847;0,385893;0,4035;0,4007;0,4006
cols;5;512;512;2;16;0,762833;0,642254;0,759359;0,762812;0,762833;0,745636
cols;5;512;512;5;16;1,89163;1,58127;1,87018;1,89163;1,88774;1,87353
cols;5;512;512;10;16;3,84241;3,12659;3,7643;3,84241;3,73281;3,71591
cols;5;512;1024;1;16;0,853256;0,688745;0,829806;0,847311;0,853256;0,841028
cols;5;512;1024;2;16;1,65291;1,3512;1,65291;1,65077;1,62464;1,6342
cols;5;512;1024;5;16;4,11904;3,301;4,01068;4,06299;4,11904;4,00323
cols;5;512;1024;10;16;8,12344;6,55323;8,08969;8,12344;8,00771;7,98201
cols;5;1024;32;1;16;0,0402989;0,0253289;0,032476;0,0402989;0,0322766;0,031677
cols;5;1024;32;2;16;0,0626802;0,0512185;0,0623742;0,0623184;0,0623182;0,0626802
cols;5;1024;32;5;16;0,153785;0,12381;0,147066;0,153785;0,152899;0,152494
cols;5;1024;32;10;16;0,304923;0,24963;0,274545;0,298422;0,288215;0,304923
cols;5;1024;64;1;16;0,0734294;0,0560872;0,0725589;0,0712393;0,0734294;0,0712343
cols;5;1024;64;2;16;0,138148;0,106706;0,138148;0,128992;0,13754;0,134774
cols;5;1024;64;5;16;0,343587;0,275098;0,343587;0,341599;0,341247;0,335924
cols;5;1024;64;10;16;0,669902;0,548653;0,659748;0,669902;0,666938;0,652572
cols;5;1024;256;1;16;0,333274;0,273695;0,328523;0,333274;0,332303;0,329309
cols;5;1024;256;2;16;0,646675;0,52865;0,646496;0,646675;0,631701;0,641189
cols;5;1024;256;5;16;1,58703;1,2812;1,58384;1,58477;1,58703;1,58203
cols;5;1024;256;10;16;3,17602;2,63482;3,05942;3,17602;3,10995;3,17484
cols;5;1024;512;1;16;0,719757;0,61278;0,719177;0,719757;0,700503;0,718456
