nThreads;mean;median;std
1;1.249087655;0.22589399999999998;2.8542412757519435
2;1.076143482;0.18718;2.562760335734609
4;0.8211037484444444;0.1316985;2.1294450486201977
8;0.6874033924444445;0.0909572;2.001144993664758
16;0.534232877;0.0873978;1.4222317568962024
