ns;mean;median;std
1;0.19269158264444444;0.0397373;0.37477778008087687
2;0.3810683736311111;0.0778433;0.7433825370484214
5;0.9429466903244446;0.191648;1.846050281559187
10;1.8785723134355556;0.3823055;3.6831546640771005
