nProcs;mean;median;std
1;1.2567532887777777;0.22708050000000002;2.8719244065027216
2;1.0877733846666666;0.188176;2.5905921442559317
4;0.828981356;0.130691;2.148267926926153
8;0.6978274304444445;0.102214;2.0383172888534085
16;0.5226310822222222;0.0821888;1.431268872543298
