strategy;subStrategy;nFotogramas;width;height;ns;nProcs;threadsPorProceso;total_time;frame_0_time;frame_1_time;frame_2_time;frame_3_time;frame_4_time
cols;cols;2;512;512;10;1;4;0,222551;0,222551;;;;
cols;cols;2;512;1024;1;1;4;0,0471094;0,0471094;;;;
cols;cols;2;512;1024;3;1;4;0,140723;0,140723;;;;
cols;cols;2;512;1024;10;1;4;0,481129;0,481129;;;;
cols;cols;2;1024;32;1;1;4;0,0021521;0,0021521;;;;
cols;cols;2;1024;32;3;1;4;0,0052365;0,0052365;;;;
cols;cols;2;1024;32;10;1;4;0,0166165;0,0166165;;;;
cols;cols;2;1024;256;1;1;4;0,0195329;0,0195329;;;;
cols;cols;2;1024;256;3;1;4;0,0558036;0,0558036;;;;
cols;cols;2;1024;256;10;1;4;0,183928;0,183928;;;;
cols;cols;2;1024;512;1;1;4;0,0464382;0,0464382;;;;
cols;cols;2;1024;512;3;1;4;0,13425;0,13425;;;;
cols;cols;2;1024;512;10;1;4;0,442774;0,442774;;;;
cols;cols;2;1024;1024;1;1;4;0,0915593;0,0915593;;;;
cols;cols;2;1024;1024;3;1;4;0,269128;0,269128;;;;
cols;cols;2;1024;1024;10;1;4;0,905124;0,905124;;;;
cols;cols;3;32;32;1;1;4;0,0005027;0,0005027;;;;
cols;cols;3;32;32;3;1;4;0,0006229;0,0006229;;;;
cols;cols;3;32;32;10;1;4;0,0014623;0,0014623;;;;
cols;cols;3;32;256;1;1;4;0,0012058;0,0012058;;;;
cols;cols;3;32;256;3;1;4;0,0024317;0,0024317;;;;
cols;cols;3;32;256;10;1;4;0,0074069;0,0074069;;;;
cols;cols;3;32;512;1;1;4;0,0019609;0,0019609;;;;
cols;cols;3;32;512;3;1;4;0,004633;0,004633;;;;
cols;cols;3;32;512;10;1;4;0,014828;0,014828;;;;
cols;cols;3;32;1024;1;1;4;0,003191;0,003191;;;;
cols;cols;3;32;1024;3;1;4;0,0088705;0,0088705;;;;
cols;cols;3;32;1024;10;1;4;0,0283957;0,0283957;;;;
